Date/Time,Electricity:Facility [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 12/21  00:15:00,1280205.3294977788,514035.3294977787,0.0 
 12/21  00:30:00,2266397.8413163545,1500227.8413163545,0.0 
 12/21  00:45:00,1977362.511818576,1211192.5118185757,0.0 
 12/21  01:00:00,1280205.3294977788,514035.3294977787,0.0,6804171.012130488,6804171.012130488,32134399.518247686 
 12/21  01:15:00,2266397.8413163545,1500227.8413163545,0.0 
 12/21  01:30:00,1977362.511818576,1211192.5118185757,0.0 
 12/21  01:45:00,1280205.3294977788,514035.3294977787,0.0 
 12/21  02:00:00,2266397.8413163545,1500227.8413163545,0.0,7790363.523949063,7790363.523949063,49188666.60950805 
 12/21  02:15:00,1977362.511818576,1211192.5118185757,0.0 
 12/21  02:30:00,1280205.3294977788,514035.3294977787,0.0 
 12/21  02:45:00,2266397.8413163545,1500227.8413163545,0.0 
 12/21  03:00:00,1977362.511818576,1211192.5118185757,0.0,7501328.194451285,7501328.194451285,39510822.75307668 
 12/21  03:15:00,1280205.3294977788,514035.3294977787,0.0 
 12/21  03:30:00,2266397.8413163545,1500227.8413163545,0.0 
 12/21  03:45:00,1977362.511818576,1211192.5118185757,0.0 
 12/21  04:00:00,1280205.3294977788,514035.3294977787,0.0,6804171.012130488,6804171.012130488,32741417.13891784 
 12/21  04:15:00,2266397.8413163545,1500227.8413163545,0.0 
 12/21  04:30:00,1977362.511818576,1211192.5118185757,0.0 
 12/21  04:45:00,1280205.3294977788,514035.3294977787,0.0 
 12/21  05:00:00,2266397.8413163545,1500227.8413163545,0.0,7790363.523949063,7790363.523949063,49207825.1713302 
 12/21  05:15:00,1977362.511818576,1211192.5118185757,0.0 
 12/21  05:30:00,1280205.3294977788,514035.3294977787,0.0 
 12/21  05:45:00,2266397.8413163545,1500227.8413163545,0.0 
 12/21  06:00:00,1977362.511818576,1211192.5118185757,0.0,7501328.194451285,7501328.194451285,39527869.88298642 
 12/21  06:15:00,1578105.3294977788,514035.3294977787,0.0 
 12/21  06:30:00,2564297.8413163545,1500227.8413163545,0.0 
 12/21  06:45:00,2275262.5118185757,1211192.5118185757,0.0 
 12/21  07:00:00,1578105.3294977788,514035.3294977787,0.0,7995771.012130488,7995771.012130488,32733929.032093644 
 12/21  07:15:00,2564297.8413163545,1500227.8413163545,0.0 
 12/21  07:30:00,1725092.5118185757,1211192.5118185757,0.0 
 12/21  07:45:00,1027935.3294977787,514035.3294977787,0.0 
